"Table 4c. Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2024",,,,,,,,,,,,,
"(Numbers in thousands, Population 18 and Over)",,,,,,,,,,,,,
Characteristics,,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,,Total registered,"Percent registered
(Total)",Margin of error (+/-)1,"Percent registered
(Citizen)",Margin of error (+/-)1,Total voted,"Percent voted
(Total)",Margin of error (+/-)1,"Percent voted
(Citizen)",Margin of error (+/-)1
UNITED STATES,Total,"260,363","236,138","173,854",66.8,0.5,73.6,0.5,"154,308",59.3,0.5,65.3,0.5
,18 to 24 years,"29,986","27,548","16,052",53.5,1.3,58.3,1.3,"13,150",43.9,1.2,47.7,1.3
,25 to 34 years,"44,385","38,963","26,637",60,1,68.4,1,"22,148",49.9,1,56.8,1
,35 to 44 years,"44,380","38,229","27,920",62.9,0.9,73,0.8,"24,340",54.8,0.9,63.7,1
,45 to 64 years,"81,204","73,404","56,675",69.8,0.7,77.2,0.7,"51,354",63.2,0.7,70,0.7
,65 years and over,"60,408","57,994","46,571",77.1,0.7,80.3,0.7,"43,317",71.7,0.7,74.7,0.7
ALABAMA,Total,"3,931","3,779","2,605",66.3,3.8,68.9,4.5,"2,219",56.5,3.8,58.7,4.5
,18 to 24 years,415,400,212,51.1,7,53,7.6,167,40.2,6.7,41.6,7.2
,25 to 34 years,726,681,409,56.3,6.6,60,7.4,318,43.8,6.7,46.7,7.6
,35 to 44 years,590,555,370,62.7,7.9,66.7,8,304,51.5,7,54.8,7
,45 to 64 years,"1,272","1,228",904,71.1,3.8,73.6,4,793,62.4,4.2,64.6,4.3
,65 years and over,928,915,709,76.4,6.6,77.5,6.5,637,68.7,7.6,69.7,7.6
ALASKA,Total,536,521,408,76.1,3.4,78.3,3.4,324,60.4,3.9,62.1,4.1
,18 to 24 years,57,54,39,68.9,8.7,71.7,8.7,24,43.2,14.4,45,15.1
,25 to 34 years,104,102,75,72.7,10.5,73.6,10.3,50,48.4,8.6,49,8.6
,35 to 44 years,104,102,82,78.9,7.9,80,7.9,64,61.9,7.4,62.8,7.3
,45 to 64 years,170,162,128,75.7,5.3,79.2,5.6,111,65.7,5.5,68.7,5.9
,65 years and over,102,100,83,81.4,6,83.6,6.3,73,71.7,5.9,73.6,6.4
ARIZONA,Total,"5,841","5,186","3,578",61.3,3.4,69,3.2,"3,201",54.8,3.3,61.7,3.2
,18 to 24 years,723,664,294,40.7,9.5,44.3,9.9,212,29.3,7.5,31.9,7.9
,25 to 34 years,941,879,565,60.1,7.5,64.4,7.1,482,51.3,8.2,54.9,8.2
,35 to 44 years,970,785,538,55.5,6.8,68.5,6.9,475,48.9,6.8,60.5,6.9
,45 to 64 years,"1,777","1,512","1,086",61.1,5.1,71.8,4.7,972,54.7,5.5,64.3,5.2
,65 years and over,"1,430","1,347","1,094",76.5,4.6,81.3,4.5,"1,060",74.1,4.6,78.7,4.4
ARKANSAS,Total,"2,371","2,274","1,472",62.1,2.4,64.7,2.3,"1,200",50.6,2.8,52.8,2.7
,18 to 24 years,310,301,152,49.1,6.2,50.5,6.1,113,36.6,7.3,37.6,7.3
,25 to 34 years,381,354,198,51.8,7,55.9,7.1,142,37.2,6.8,40.2,7.2
,35 to 44 years,397,367,222,55.8,5.1,60.4,5.3,183,46,6.5,49.8,6.9
,45 to 64 years,693,669,460,66.3,5.3,68.7,5,378,54.6,5.4,56.6,5.2
,65 years and over,590,583,441,74.7,3.8,75.6,3.7,384,65,4.5,65.8,4.5
CALIFORNIA,Total,"30,100","25,327","18,471",61.4,1.5,72.9,1.5,"16,385",54.4,1.5,64.7,1.6
,18 to 24 years,"3,447","3,054","1,880",54.5,3.5,61.6,3.7,"1,621",47,3.3,53.1,3.4
,25 to 34 years,"5,323","4,422","2,936",55.1,2.9,66.4,2.9,"2,560",48.1,2.7,57.9,2.8
,35 to 44 years,"5,512","4,322","3,214",58.3,3.1,74.4,2.9,"2,783",50.5,2.9,64.4,3.2
,45 to 64 years,"9,524","7,816","5,925",62.2,2.3,75.8,2.1,"5,238",55,2.4,67,2.4
,65 years and over,"6,294","5,713","4,517",71.8,2.6,79.1,2.5,"4,183",66.5,2.5,73.2,2.4
COLORADO,Total,"4,630","4,277","3,158",68.2,4.8,73.8,5.2,"2,997",64.7,4.7,70.1,5
,18 to 24 years,512,475,299,58.4,8.6,63,9.3,267,52,10,56.2,11
,25 to 34 years,953,876,602,63.2,7.9,68.7,8.2,529,55.5,6.3,60.4,6.5
,35 to 44 years,823,712,513,62.3,6.9,72,6.7,502,61.1,6.9,70.6,6.8
,45 to 64 years,"1,337","1,229",929,69.5,5.9,75.6,6.4,897,67.1,6.6,73,7.3
,65 years and over,"1,005",984,814,81,7.6,82.7,7.1,802,79.8,7.5,81.5,7
CONNECTICUT,Total,"2,850","2,608","1,882",66,3.5,72.2,3.4,"1,729",60.7,3.5,66.3,3.4
,18 to 24 years,383,355,171,44.5,9.6,48.1,9.8,146,38,9.9,41.1,10.3
,25 to 34 years,393,347,254,64.8,9.1,73.4,8.8,218,55.6,9,63,8.9
,35 to 44 years,442,388,276,62.4,8.7,71,8.8,250,56.6,8.4,64.4,8.8
,45 to 64 years,957,863,654,68.3,4.5,75.7,4.4,618,64.6,4.8,71.6,4.9
,65 years and over,675,655,528,78.2,4.5,80.5,4.4,496,73.6,4.9,75.7,4.8
DELAWARE,Total,819,746,577,70.4,4,77.4,3.6,521,63.5,4,69.8,3.7
,18 to 24 years,86,81,45,52.7,12.2,55.7,12.3,39,45.2,10.9,47.7,11.2
,25 to 34 years,126,111,80,62.9,9.9,71.9,9.8,67,52.8,9.5,60.3,10
,35 to 44 years,121,98,70,58.4,8.9,71.7,9.2,56,46.8,8.9,57.5,10
,45 to 64 years,252,229,189,74.8,6,82.4,5.4,179,70.8,6.1,78,5.9
,65 years and over,234,226,193,82.4,4.8,85.3,4.6,180,76.8,5.4,79.6,5.1
DISTRICT OF COLUMBIA,Total,557,507,432,77.5,3,85.1,2.8,404,72.5,3.4,79.5,3.3
,18 to 24 years,67,63,49,73.2,9.3,78.8,8.9,46,68,9.7,73.2,9.6
,25 to 34 years,149,134,113,76.2,4.8,84.9,4.3,107,71.9,5.4,80.1,5.2
,35 to 44 years,117,105,89,76.3,5.6,84.9,5,81,69.3,6.3,77.1,6.3
,45 to 64 years,133,121,106,79.7,4.3,87.6,3.8,98,74.2,4.4,81.6,3.9
,65 years and over,91,86,74,81.2,4.8,86.7,4.3,71,78.2,5.3,83.4,4.9
FLORIDA,Total,"18,333","16,092","10,788",58.8,2,67,2.2,"9,703",52.9,1.7,60.3,1.9
,18 to 24 years,"1,923","1,675",784,40.8,5.2,46.8,5.8,616,32.1,5.2,36.8,5.9
,25 to 34 years,"2,793","2,366","1,445",51.7,3.8,61.1,4.3,"1,215",43.5,4,51.4,4.3
,35 to 44 years,"2,767","2,323","1,501",54.2,4,64.6,4.3,"1,319",47.7,3.9,56.8,4.2
,45 to 64 years,"5,826","5,010","3,421",58.7,3.3,68.3,3.4,"3,146",54,3.1,62.8,3.2
,65 years and over,"5,025","4,718","3,637",72.4,2.8,77.1,2.7,"3,406",67.8,2.7,72.2,2.6
GEORGIA,Total,"8,431","7,624","5,401",64.1,2.9,70.8,2.8,"4,908",58.2,2.7,64.4,2.6
,18 to 24 years,935,889,520,55.6,8.5,58.5,8.7,440,47.1,7.6,49.6,8
,25 to 34 years,"1,571","1,341",876,55.8,5.4,65.4,5.4,733,46.6,5.6,54.7,5.5
,35 to 44 years,"1,435","1,192",779,54.3,6.4,65.4,6,706,49.2,5.9,59.2,5.8
,45 to 64 years,"2,729","2,487","1,860",68.2,4.3,74.8,4.2,"1,736",63.6,4.4,69.8,4.2
,65 years and over,"1,761","1,716","1,366",77.6,4.3,79.6,4.1,"1,294",73.5,4.6,75.4,4.4
HAWAII,Total,"1,077","1,004",679,63.1,3,67.6,3,587,54.5,3.4,58.5,3.4
,18 to 24 years,114,108,48,41.9,9.4,44.3,9.4,41,36.2,9.1,38.3,9.1
,25 to 34 years,158,148,94,59.1,7.6,63.5,7.8,72,45.5,8.3,48.8,8.6
